n	a	b	c	d
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	1	0	0	0
10	1	0	0	0
11	0	0	0	0
12	1	0	0	0
13	1	0	0	0
14	1	0	0	0
15	1	1	0	0
16	1	1	0	0
17	0	1	0	0
18	1	1	0	0
19	1	1	0	0
20	1	1	0	0
21	1	1	1	0
22	1	1	1	0
23	1	0	1	0
24	2	0	1	0
25	2	0	1	0
26	2	0	1	0
27	2	1	1	0
28	2	1	1	0
29	1	1	1	0
30	1	2	1	0
31	1	2	1	0
32	1	2	1	0
33	2	2	1	0
34	2	2	1	0
35	2	2	0	0
36	2	2	1	0
37	2	2	1	0
38	2	2	1	0
39	3	2	1	0
40	3	2	1	0
41	2	2	1	0
42	2	2	2	0
43	2	2	2	0
44	2	2	2	0
45	2	3	2	0
46	2	3	2	0
47	2	2	2	0
48	2	3	2	0
49	2	3	2	0
50	2	3	2	0
51	2	3	3	0
52	2	3	3	0
53	2	2	3	0
54	3	2	3	0
55	3	2	3	0
56	3	2	3	0
57	4	2	3	0
58	4	2	3	0
59	3	2	3	0
60	3	3	3	0
61	3	3	3	0
62	3	3	3	0
63	3	3	3	1
64	3	3	3	1
65	3	3	2	1
66	3	3	3	1
67	3	3	3	1
68	3	3	3	1
69	3	4	3	1
70	3	4	3	1
71	2	4	3	1
72	3	4	3	1
73	3	4	3	1
74	3	4	3	1
75	3	4	3	2
76	3	4	3	2
77	3	4	2	2
78	4	4	2	2
79	4	4	2	2
80	4	4	2	2
81	4	4	3	2
82	4	4	3	2
83	4	3	3	2
84	4	3	4	2
85	4	3	4	2
86	4	3	4	2
87	4	4	4	2
88	4	4	4	2
89	4	3	4	2
90	4	4	4	2
91	4	4	4	2
92	4	4	4	2
93	5	4	4	2
94	5	4	4	2
95	5	4	3	2
96	5	4	3	3
97	5	4	3	3
98	5	4	3	3
99	6	4	3	3
100	6	4	3	3
101	5	4	3	3
102	6	4	3	3
103	6	4	3	3
104	6	4	3	3
105	6	4	3	4
106	6	4	3	4
107	5	4	3	4
108	5	4	4	4
109	5	4	4	4
110	5	4	4	4
111	5	4	4	5
112	5	4	4	5
113	5	3	4	5
114	5	3	5	5
115	5	3	5	5
116	5	3	5	5
117	6	3	5	5
118	6	3	5	5
119	6	3	5	4
120	6	4	5	4
121	6	4	5	4
122	6	4	5	4
123	7	4	5	4
124	7	4	5	4
125	7	4	4	4
126	7	4	4	5
127	7	4	4	5
128	7	4	4	5
129	7	5	4	5
130	7	5	4	5
131	7	4	4	5
132	7	5	4	5
133	7	5	4	5
134	7	5	4	5
135	7	6	4	5
136	7	6	4	5
137	6	6	4	5
138	7	6	4	5
139	7	6	4	5
140	7	6	4	5
141	7	6	5	5
142	7	6	5	5
143	7	6	5	4
144	8	6	5	4
145	8	6	5	4
146	8	6	5	4
147	8	6	5	5
148	8	6	5	5
149	7	6	5	5
150	7	7	5	5
151	7	7	5	5
152	7	7	5	5
153	7	7	5	6
154	7	7	5	6
155	7	7	4	6
156	7	7	5	6
157	7	7	5	6
158	7	7	5	6
159	8	7	5	6
160	8	7	5	6
161	8	7	4	6
162	8	8	4	6
163	8	8	4	6
164	8	8	4	6
165	8	8	4	7
166	8	8	4	7
167	8	7	4	7
168	8	7	5	7
169	8	7	5	7
170	8	7	5	7
171	8	7	6	7
172	8	7	6	7
173	8	6	6	7
174	8	6	6	8
175	8	6	6	8
176	8	6	6	8
177	9	6	6	8
178	9	6	6	8
179	8	6	6	8
180	8	7	6	8
181	8	7	6	8
182	8	7	6	8
183	8	8	6	8
184	8	8	6	8
185	8	8	6	7
186	8	8	7	7
187	8	8	7	7
188	8	8	7	7
189	8	8	8	7
190	8	8	8	7
191	7	8	8	7
192	7	8	9	7
193	7	8	9	7
194	7	8	9	7
195	7	9	9	7
196	7	9	9	7
197	6	9	9	7
198	6	10	9	7
199	6	10	9	7
200	6	10	9	7
201	6	10	10	7
202	6	10	10	7
203	6	10	10	6
204	6	11	10	6
205	6	11	10	6
206	6	11	10	6
207	6	11	11	6
208	6	11	11	6
209	6	11	10	6
210	6	11	10	7
211	6	11	10	7
212	6	11	10	7
213	7	11	10	7
214	7	11	10	7
215	7	11	10	6
216	7	11	10	7
217	7	11	10	7
218	7	11	10	7
219	8	11	10	7
220	8	11	10	7
221	8	11	9	7
222	8	11	10	7
223	8	11	10	7
224	8	11	10	7
225	8	12	10	7
226	8	12	10	7
227	7	12	10	7
228	7	13	10	7
229	7	13	10	7
230	7	13	10	7
231	7	13	11	7
232	7	13	11	7
233	7	12	11	7
234	8	12	11	7
235	8	12	11	7
236	8	12	11	7
237	8	13	11	7
238	8	13	11	7
239	7	13	11	7
240	7	13	11	8
241	7	13	11	8
242	7	13	11	8
243	7	14	11	8
244	7	14	11	8
245	7	14	11	7
246	7	14	12	7
247	7	14	12	7
248	7	14	12	7
249	7	15	12	7
250	7	15	12	7